ApplNo,ProductNo,Form,Strength,ReferenceDrug,DrugName,ActiveIngredient,ReferenceStandard,
003718,10,TABLET;ORAL,5MG,0,SYNKAYVITE,MENADIOL SODIUM DIPHOSPHATE,0,
003977,1,INJECTABLE;INJECTION,1MG/ML,0,THEELIN,ESTRONE,0,
003977,2,INJECTABLE;INJECTION,2MG/ML,0,THEELIN,ESTRONE,0,
003977,3,INJECTABLE;INJECTION,5MG/ML,0,THEELIN,ESTRONE,0,
004039,2,"TABLET, DELAYED RELEASE;ORAL",0.1MG,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,0,
004039,3,"TABLET, DELAYED RELEASE;ORAL",0.5MG,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,0,
004039,4,"TABLET, DELAYED RELEASE;ORAL",1MG,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,0,
004039,5,"TABLET, DELAYED RELEASE;ORAL",0.25MG,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,0,
004039,6,"TABLET, DELAYED RELEASE;ORAL",5MG,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,0,
004040,1,SUPPOSITORY;VAGINAL,0.1MG,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,0,
004040,2,SUPPOSITORY;VAGINAL,0.5MG,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,0,
004041,2,TABLET;ORAL,0.1MG,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,0,
004041,3,TABLET;ORAL,0.5MG,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,0,
004041,4,TABLET;ORAL,1MG,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,0,
004041,5,TABLET;ORAL,5MG,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,0,
004054,1,TABLET;ORAL,500MG,0,SULFADIAZINE,SULFADIAZINE,0,
004054,2,INJECTABLE;INJECTION,250MG/ML,0,SULFADIAZINE SODIUM,SULFADIAZINE SODIUM,0,
004056,1,SUPPOSITORY;VAGINAL,0.1MG,0,STILBESTROL,DIETHYLSTILBESTROL,0,
004056,2,SUPPOSITORY;VAGINAL,0.5MG,0,STILBESTROL,DIETHYLSTILBESTROL,0,
004056,3,INJECTABLE;INJECTION,0.2MG/ML,0,STILBESTROL,DIETHYLSTILBESTROL,0,
004056,4,INJECTABLE;INJECTION,0.5MG/ML,0,STILBESTROL,DIETHYLSTILBESTROL,0,
004056,5,INJECTABLE;INJECTION,1MG/ML,0,STILBESTROL,DIETHYLSTILBESTROL,0,
004056,6,INJECTABLE;INJECTION,5MG/ML,0,STILBESTROL,DIETHYLSTILBESTROL,0,
004056,7,TABLET;ORAL,0.1MG,0,STILBETIN,DIETHYLSTILBESTROL,0,
004056,8,TABLET;ORAL,0.5MG,0,STILBETIN,DIETHYLSTILBESTROL,0,
004056,9,TABLET;ORAL,1MG,0,STILBETIN,DIETHYLSTILBESTROL,0,
004056,10,TABLET;ORAL,5MG,0,STILBETIN,DIETHYLSTILBESTROL,0,
004056,11,"TABLET, DELAYED RELEASE;ORAL",0.1MG,0,STILBETIN,DIETHYLSTILBESTROL,0,
004056,12,"TABLET, DELAYED RELEASE;ORAL",0.5MG,0,STILBETIN,DIETHYLSTILBESTROL,0,
004056,13,"TABLET, DELAYED RELEASE;ORAL",1MG,0,STILBETIN,DIETHYLSTILBESTROL,0,
004056,14,"TABLET, DELAYED RELEASE;ORAL",5MG,0,STILBETIN,DIETHYLSTILBESTROL,0,
004056,17,TABLET;ORAL,0.25MG,0,STILBETIN,DIETHYLSTILBESTROL,0,
004122,2,TABLET;ORAL,500MG,1,SULFADIAZINE,SULFADIAZINE,0,
004125,5,TABLET;ORAL,300MG,0,SULFADIAZINE,SULFADIAZINE,0,
004570,1,INJECTABLE;INJECTION,"1,000 UNITS/ML",0,HEPARIN SODIUM,HEPARIN SODIUM,0,
004570,2,INJECTABLE;INJECTION,"5,000 UNITS/ML",0,HEPARIN SODIUM,HEPARIN SODIUM,0,
004570,3,INJECTABLE;INJECTION,"10,000 UNITS/ML",0,HEPARIN SODIUM,HEPARIN SODIUM,0,
004589,4,INJECTABLE;INJECTION,5ML/100ML;5GM/100ML,0,ALCOHOL 5% AND DEXTROSE 5%,ALCOHOL; DEXTROSE,0,
004782,1,TABLET;ORAL,1.25MG,1,PREMARIN,"ESTROGENS, CONJUGATED",1,
004782,2,TABLET;ORAL,2.5MG,0,PREMARIN,"ESTROGENS, CONJUGATED",0,
004782,3,TABLET;ORAL,0.3MG,1,PREMARIN,"ESTROGENS, CONJUGATED",0,
004782,4,TABLET;ORAL,0.625MG,1,PREMARIN,"ESTROGENS, CONJUGATED",1,
004782,5,TABLET;ORAL,0.9MG,1,PREMARIN,"ESTROGENS, CONJUGATED",1,
004782,6,TABLET;ORAL,0.45MG,1,PREMARIN,"ESTROGENS, CONJUGATED",0,
005010,1,TABLET;ORAL,50MG,1,DEMEROL,MEPERIDINE HYDROCHLORIDE,0,
005010,2,INJECTABLE;INJECTION,50MG/ML,0,DEMEROL,MEPERIDINE HYDROCHLORIDE,0,
005010,3,INJECTABLE;INJECTION,100MG/ML,0,DEMEROL,MEPERIDINE HYDROCHLORIDE,0,
005010,4,TABLET;ORAL,100MG,1,DEMEROL,MEPERIDINE HYDROCHLORIDE,0,
005010,5,SYRUP;ORAL,50MG/5ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,0,DEMEROL,MEPERIDINE HYDROCHLORIDE,0,
005010,7,INJECTABLE;INJECTION,25MG/ML,0,DEMEROL,MEPERIDINE HYDROCHLORIDE,0,
005010,9,INJECTABLE;INJECTION,75MG/ML,0,DEMEROL,MEPERIDINE HYDROCHLORIDE,0,
005151,1,PELLET;IMPLANTATION,125MG,0,PERCORTEN,DESOXYCORTICOSTERONE ACETATE,0,
005213,1,TABLET;ORAL,1.5MG;5MG,1,HYCODAN,HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE,0,
005213,2,SYRUP;ORAL,1.5MG/5ML;5MG/5ML,1,HYCODAN,HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE,0,
005264,4,INJECTABLE;INJECTION,"1,000 UNITS/ML",0,PANHEPRIN,HEPARIN SODIUM,0,
005264,6,INJECTABLE;INJECTION,"5,000 UNITS/ML",0,PANHEPRIN,HEPARIN SODIUM,0,
005264,7,INJECTABLE;INJECTION,"10,000 UNITS/ML",0,PANHEPRIN,HEPARIN SODIUM,0,
005264,8,INJECTABLE;INJECTION,"20,000 UNITS/ML",0,PANHEPRIN,HEPARIN SODIUM,0,
005264,9,INJECTABLE;INJECTION,"40,000 UNITS/ML",0,PANHEPRIN,HEPARIN SODIUM,0,
005264,10,INJECTABLE;INJECTION,100 UNITS/ML,0,HEPARIN LOCK FLUSH,HEPARIN SODIUM,0,
005264,13,INJECTABLE;INJECTION,"2,000 UNITS/ML",0,HEPARIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM,0,
005264,14,INJECTABLE;INJECTION,"2,500 UNITS/ML",0,HEPARIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM,0,
005292,1,TABLET;ORAL,0.02MG,0,ESTINYL,ETHINYL ESTRADIOL,0,
005292,2,TABLET;ORAL,0.05MG,0,ESTINYL,ETHINYL ESTRADIOL,0,
005292,3,TABLET;ORAL,0.5MG,0,ESTINYL,ETHINYL ESTRADIOL,0,
005319,1,INJECTABLE;INJECTION,100%,0,PANTOPAQUE,IOPHENDYLATE,0,
005378,2,TABLET;ORAL,5MG,1,DESOXYN,METHAMPHETAMINE HYDROCHLORIDE,1,
005378,3,"TABLET, EXTENDED RELEASE;ORAL",10MG,0,DESOXYN,METHAMPHETAMINE HYDROCHLORIDE,0,
005378,4,"TABLET, EXTENDED RELEASE;ORAL",5MG,0,DESOXYN,METHAMPHETAMINE HYDROCHLORIDE,0,
005378,5,"TABLET, EXTENDED RELEASE;ORAL",15MG,0,DESOXYN,METHAMPHETAMINE HYDROCHLORIDE,0,
005490,2,TABLET;ORAL,0.05MG,0,LYNORAL,ETHINYL ESTRADIOL,0,
005490,3,TABLET;ORAL,0.01MG,0,LYNORAL,ETHINYL ESTRADIOL,0,
005509,1,CAPSULE;ORAL,50MG,0,DICUMAROL,DICUMAROL,0,
005509,3,CAPSULE;ORAL,25MG,0,DICUMAROL,DICUMAROL,0,
005521,1,INJECTABLE;INJECTION,"1,000 UNITS/ML",0,HEPARIN SODIUM,HEPARIN SODIUM,0,
005521,2,INJECTABLE;INJECTION,"10,000 UNITS/ML",0,HEPARIN SODIUM,HEPARIN SODIUM,0,
005521,4,INJECTABLE;INJECTION,"20,000 UNITS/ML",0,HEPARIN SODIUM,HEPARIN SODIUM,0,
005545,3,TABLET;ORAL,25MG,0,DICUMAROL,DICUMAROL,0,
005545,4,TABLET;ORAL,50MG,0,DICUMAROL,DICUMAROL,0,
005545,5,TABLET;ORAL,100MG,0,DICUMAROL,DICUMAROL,0,
005619,1,INJECTABLE;INJECTION,20%,0,AMINOHIPPURATE SODIUM,AMINOHIPPURATE SODIUM,0,
005620,1,INJECTABLE;INJECTION,12.5GM/50ML,0,MANNITOL 25%,MANNITOL,0,
005657,1,INJECTABLE;INJECTION,3MG/ML,0,TUBOCURARINE CHLORIDE,TUBOCURARINE CHLORIDE,0,
005691,2,TABLET;ORAL,130CSR UNIT,0,VERTAVIS,VERATRUM VIRIDE ROOT,0,
005725,1,INJECTABLE;INJECTION,10MG/ML,0,KAPPADIONE,MENADIOL SODIUM DIPHOSPHATE,0,
005794,1,CREAM;VAGINAL,3.7%;2.86%;3.42%,0,SULTRIN,TRIPLE SULFA (SULFABENZAMIDE;SULFACETAMIDE;SULFATHIAZOLE),0,
005794,2,TABLET;VAGINAL,184MG;143.75MG;172.5MG,0,SULTRIN,TRIPLE SULFA (SULFABENZAMIDE;SULFACETAMIDE;SULFATHIAZOLE),0,
005795,1,OINTMENT;TOPICAL,0.20%,0,FURACIN,NITROFURAZONE,0,
005845,1,CAPSULE;ORAL,50MG,0,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE,0,
005845,4,ELIXIR;ORAL,12.5MG/5ML,0,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE,0,
005845,7,CAPSULE;ORAL,25MG,0,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE,0,
005856,2,SOLUTION;ORAL,200MG/5ML,0,TRIDIONE,TRIMETHADIONE,0,
005856,5,CAPSULE;ORAL,300MG,0,TRIDIONE,TRIMETHADIONE,0,
005856,9,TABLET;ORAL,150MG,1,TRIDIONE,TRIMETHADIONE,0,
005897,4,TABLET;ORAL,1MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,0,FOLVITE,FOLIC ACID,0,
005897,8,INJECTABLE;INJECTION,5MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,FOLVITE,FOLIC ACID,0,
005914,2,TABLET;ORAL,50MG,0,PBZ,TRIPELENNAMINE HYDROCHLORIDE,0,
005914,4,ELIXIR;ORAL,EQ 25MG HYDROCHLORIDE/5ML,0,PBZ,TRIPELENNAMINE CITRATE,0,
005929,1,INJECTABLE;INJECTION,1MG/ML,1,D.H.E. 45,DIHYDROERGOTAMINE MESYLATE,1,
005932,12,INJECTABLE;INJECTION,5%,0,AMINOSOL 5%,PROTEIN HYDROLYSATE,0,
005939,1,INJECTABLE;INJECTION,10%,1,BAL,DIMERCAPROL,1,
005963,1,SOLUTION/DROPS;OPHTHALMIC,10% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,SODIUM SULAMYD,SULFACETAMIDE SODIUM,0,
005963,2,OINTMENT;OPHTHALMIC,10% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,SODIUM SULAMYD,SULFACETAMIDE SODIUM,0,
005963,3,SOLUTION/DROPS;OPHTHALMIC,30% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,SODIUM SULAMYD,SULFACETAMIDE SODIUM,0,
005970,4,INJECTABLE;INJECTION,1% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,SOTRADECOL,SODIUM TETRADECYL SULFATE,0,
005970,5,INJECTABLE;INJECTION,3% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,SOTRADECOL,SODIUM TETRADECYL SULFATE,0,
006002,1,TABLET;ORAL,500MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,ARALEN,CHLOROQUINE PHOSPHATE,0,
006002,2,INJECTABLE;INJECTION,EQ 40MG BASE/ML,0,ARALEN HYDROCHLORIDE,CHLOROQUINE HYDROCHLORIDE,0,
006008,1,TABLET;ORAL,100MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,MESANTOIN,MEPHENYTOIN,0,
006012,3,CAPSULE;ORAL,182MG;0.33MG,0,FOLVRON,FERROUS SULFATE; FOLIC ACID,0,
006035,3,TABLET;ORAL,0.2MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,METHERGINE,METHYLERGONOVINE MALEATE,0,
006035,4,INJECTABLE;INJECTION,0.2MG/ML,1,METHERGINE,METHYLERGONOVINE MALEATE,1,
006044,3,"TABLET, DELAYED RELEASE;ORAL",165MG,0,DIASONE SODIUM,SULFOXONE SODIUM,0,
006071,3,INJECTABLE;INJECTION,"50MG/ML;0.03MG/ML;0.0025MG/ML;7.5MG/ML;100 IU/ML;0.2MG/ML;20MG/ML;2MG/ML;1.8MG/ML;1.5MG/ML;1,650 IU/ML;5 IU/ML",0,BEROCCA PN,ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN E,0,
006095,1,INJECTABLE;INJECTION,3MG/ML,0,TUBOCURARINE CHLORIDE,TUBOCURARINE CHLORIDE,0,
006110,5,CREAM;VAGINAL,0.01%,0,DIENESTROL,DIENESTROL,0,
006134,2,TABLET;ORAL,5MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,DOLOPHINE HYDROCHLORIDE,METHADONE HYDROCHLORIDE,0,
006134,4,SYRUP;ORAL,10MG/30ML,0,DOLOPHINE HYDROCHLORIDE,METHADONE HYDROCHLORIDE,0,
006134,10,TABLET;ORAL,10MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,DOLOPHINE HYDROCHLORIDE,METHADONE HYDROCHLORIDE,0,
006135,3,TABLET;ORAL,1MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,0,FOLIC ACID,FOLIC ACID,0,
006146,1,INJECTABLE;INJECTION,10MG/ML,0,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE,0,
006146,2,INJECTABLE;INJECTION,50MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE,0,
006170,3,INJECTABLE;INJECTION,5%,0,HYPROTIGEN 5%,PROTEIN HYDROLYSATE,0,
006188,1,TABLET;ORAL,50MG,1,PROPYLTHIOURACIL,PROPYLTHIOURACIL,1,
006203,1,INJECTABLE;INJECTION,2.5MG/ML,0,HEAVY SOLUTION NUPERCAINE,DIBUCAINE HYDROCHLORIDE,0,
006213,1,TABLET;ORAL,50MG,0,PROPYLTHIOURACIL,PROPYLTHIOURACIL,0,
006270,3,SOAP;TOPICAL,2%,0,GAMOPHEN,HEXACHLOROPHENE,0,
006309,1,CREAM;TOPICAL,1%,0,KWELL,LINDANE,0,
006309,3,LOTION;TOPICAL,1%,0,KWELL,LINDANE,0,
006317,7,SUSPENSION;ORAL,250MG/5ML;250MG/5ML,0,SULFONAMIDES DUPLEX,SULFADIAZINE; SULFAMERAZINE,0,
006317,11,TABLET;ORAL,167MG;167MG;167MG,0,NEOTRIZINE,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE),0,
006317,12,SUSPENSION;ORAL,167MG/5ML;167MG/5ML;167MG/5ML,0,NEOTRIZINE,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE),0,
006325,1,INJECTABLE;INJECTION,3MG/ML,0,TUBOCURARINE CHLORIDE,TUBOCURARINE CHLORIDE,0,
006327,2,SOLUTION;INHALATION,0.50%,0,ISUPREL,ISOPROTERENOL HYDROCHLORIDE,0,
006327,3,SOLUTION;INHALATION,1%,0,ISUPREL,ISOPROTERENOL HYDROCHLORIDE,0,
006328,1,"TABLET;RECTAL, SUBLINGUAL",10MG,0,ISUPREL,ISOPROTERENOL HYDROCHLORIDE,0,
006328,2,"TABLET;RECTAL, SUBLINGUAL",15MG,0,ISUPREL,ISOPROTERENOL HYDROCHLORIDE,0,
006333,8,ELIXIR;ORAL,EQ 165MG BASE/15ML,0,SYNOPHYLATE,THEOPHYLLINE SODIUM GLYCINATE,0,
006383,2,POWDER;FOR RX COMPOUNDING,50GM/BOT,0,METHADONE HYDROCHLORIDE,METHADONE HYDROCHLORIDE,0,
006383,3,POWDER;FOR RX COMPOUNDING,100GM/BOT,0,METHADONE HYDROCHLORIDE,METHADONE HYDROCHLORIDE,0,
006383,4,POWDER;FOR RX COMPOUNDING,500GM/BOT,0,METHADONE HYDROCHLORIDE,METHADONE HYDROCHLORIDE,0,
006403,5,INJECTABLE;INJECTION,25MG/ML,0,PRISCOLINE,TOLAZOLINE HYDROCHLORIDE,0,
006412,14,TABLET;ORAL,25MG,0,DECAPRYN,DOXYLAMINE SUCCINATE,0,
006412,15,TABLET;ORAL,12.5MG,0,DECAPRYN,DOXYLAMINE SUCCINATE,0,
006441,1,TABLET;ORAL,EQ 200MG BASE,0,CAMOQUIN HYDROCHLORIDE,AMODIAQUINE HYDROCHLORIDE,0,
006459,1,TABLET;ORAL,50MG,0,HETRAZAN,DIETHYLCARBAMAZINE CITRATE,0,
006460,2,INJECTABLE;INJECTION,10MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,PROTAMINE SULFATE,PROTAMINE SULFATE,0,
006470,1,INJECTABLE;INJECTION,EQ 90MG CALCIUM/5ML,0,CALCIUM GLUCEPTATE,CALCIUM GLUCEPTATE,0,
006488,2,INJECTABLE;INJECTION,2%,1,XYLOCAINE,LIDOCAINE HYDROCHLORIDE,1,
006488,3,INJECTABLE;INJECTION,0.01MG/ML;2%,0,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE,0,
006488,4,INJECTABLE;INJECTION,0.01MG/ML;1%,1,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE,1,
006488,5,INJECTABLE;INJECTION,0.02MG/ML;2%,1,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE,1,
006488,7,INJECTABLE;INJECTION,1%,1,XYLOCAINE,LIDOCAINE HYDROCHLORIDE,1,
006488,8,INJECTABLE;INJECTION,0.50%,1,XYLOCAINE,LIDOCAINE HYDROCHLORIDE,1,
006488,10,INJECTABLE;INJECTION,1.50%,1,XYLOCAINE,LIDOCAINE HYDROCHLORIDE,1,
006488,12,INJECTABLE;INJECTION,0.005MG/ML;0.5%,1,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE,1,
006488,17,INJECTABLE;INJECTION,0.005MG/ML;1.5%,1,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE,1,
006488,18,INJECTABLE;INJECTION,0.005MG/ML;1%,1,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE,1,
006488,19,INJECTABLE;INJECTION,0.005MG/ML;2%,1,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE,1,
006514,4,SYRUP;ORAL,12.5MG/5ML,0,BENYLIN,DIPHENHYDRAMINE HYDROCHLORIDE,0,
006525,1,TABLET;ORAL,500MG,0,GANTRISIN,SULFISOXAZOLE,0,
006530,3,CREAM;VAGINAL,15%,1,AVC,SULFANILAMIDE,0,
006530,4,SUPPOSITORY;VAGINAL,1.05GM,0,AVC,SULFANILAMIDE,0,
006536,1,INJECTABLE;INJECTION,5MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,URECHOLINE,BETHANECHOL CHLORIDE,0,
006536,2,TABLET;ORAL,10MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,URECHOLINE,BETHANECHOL CHLORIDE,0,
006536,3,TABLET;ORAL,5MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,URECHOLINE,BETHANECHOL CHLORIDE,0,
006536,4,TABLET;ORAL,25MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,URECHOLINE,BETHANECHOL CHLORIDE,0,
006536,5,TABLET;ORAL,50MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,URECHOLINE,BETHANECHOL CHLORIDE,0,
006580,1,INJECTABLE;INJECTION,900MG/100ML,0,AMMONIUM CHLORIDE 0.9% IN NORMAL SALINE,AMMONIUM CHLORIDE,0,
006620,1,TABLET;ORAL,100MG;1MG,0,CAFERGOT,CAFFEINE; ERGOTAMINE TARTRATE,0,
006632,3,INJECTABLE;INJECTION,2MG/ML,0,METUBINE IODIDE,METOCURINE IODIDE,0,
006668,10,INJECTABLE;INJECTION,1MG/ML,0,REDISOL,CYANOCOBALAMIN,0,
006695,1,INJECTABLE;INJECTION,10MG/VIAL,1,MUSTARGEN,MECHLORETHAMINE HYDROCHLORIDE,0,
006772,1,INJECTABLE;INJECTION,20MG/ML,0,VASOXYL,METHOXAMINE HYDROCHLORIDE,0,
006772,2,INJECTABLE;INJECTION,10MG/ML,0,VASOXYL,METHOXAMINE HYDROCHLORIDE,0,
006773,3,TABLET;ORAL,5MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,ARTANE,TRIHEXYPHENIDYL HYDROCHLORIDE,0,
006773,5,TABLET;ORAL,2MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,ARTANE,TRIHEXYPHENIDYL HYDROCHLORIDE,0,
